,index,SPX,TradeDate,SPY
568,568,1398.96,2012-04-04,139.86
569,569,1398.08,2012-04-05,139.79
570,570,1382.2,2012-04-09,138.22
571,571,1358.59,2012-04-10,135.9
572,572,1368.71,2012-04-11,137.0
573,573,1387.57,2012-04-12,138.79
574,574,1370.26,2012-04-13,137.14
575,575,1369.57,2012-04-16,137.05
576,576,1390.78,2012-04-17,139.082
577,577,1385.14,2012-04-18,138.61
578,578,1376.92,2012-04-19,137.72
579,579,1378.53,2012-04-20,137.95
580,580,1366.94,2012-04-23,136.79
581,581,1371.97,2012-04-24,137.31
582,582,1390.69,2012-04-25,139.19
583,583,1399.98,2012-04-26,140.16
584,584,1403.36,2012-04-27,140.39
585,585,1397.91,2012-04-30,139.87
586,586,1405.82,2012-05-01,140.74
587,587,1402.31,2012-05-02,140.325
588,588,1391.57,2012-05-03,139.25
589,589,1369.1,2012-05-04,137.0
590,590,1369.58,2012-05-07,137.1
591,591,1363.72,2012-05-08,136.55
592,592,1354.58,2012-05-09,135.74
593,593,1357.99,2012-05-10,136.02
594,594,1353.39,2012-05-11,135.61
595,595,1338.35,2012-05-14,134.11
596,596,1330.66,2012-05-15,133.34
597,597,1324.8,2012-05-16,132.829
598,598,1304.86,2012-05-17,130.86
599,599,1295.22,2012-05-18,129.74
600,600,1315.99,2012-05-21,131.97
601,601,1316.63,2012-05-22,132.2
602,602,1318.86,2012-05-23,132.27
603,603,1320.68,2012-05-24,132.53
604,604,1317.82,2012-05-25,132.1
605,605,1332.42,2012-05-29,133.7
606,606,1313.32,2012-05-30,131.76
607,607,1310.33,2012-05-31,131.47
608,608,1278.04,2012-06-01,128.16
609,609,1278.18,2012-06-04,128.1
610,610,1285.5,2012-06-05,129.07
611,611,1315.13,2012-06-06,131.97
612,612,1314.99,2012-06-07,132.05
613,613,1325.66,2012-06-08,133.1
614,614,1308.93,2012-06-11,131.415
615,615,1324.18,2012-06-12,132.92
616,616,1314.88,2012-06-13,132.07
617,617,1329.1,2012-06-14,133.47
618,618,1342.84,2012-06-15,134.14
619,619,1344.78,2012-06-18,134.4
620,620,1357.98,2012-06-19,135.7
621,621,1355.69,2012-06-20,135.48
622,622,1325.51,2012-06-21,132.44
623,623,1335.02,2012-06-22,133.46
624,624,1313.72,2012-06-25,131.32
625,625,1319.99,2012-06-26,131.98
626,626,1331.85,2012-06-27,133.173
627,627,1329.04,2012-06-28,132.79
628,628,1362.16,2012-06-29,136.105
629,629,1365.51,2012-07-02,136.51
630,630,1374.02,2012-07-03,137.412
631,631,1367.58,2012-07-05,136.79
632,632,1354.68,2012-07-06,135.49
633,633,1352.46,2012-07-09,135.32
634,634,1341.47,2012-07-10,134.14
635,635,1341.45,2012-07-11,134.16
636,636,1334.76,2012-07-12,133.51
637,637,1356.78,2012-07-13,135.75
638,638,1353.64,2012-07-16,135.43
639,639,1363.67,2012-07-17,136.36
640,640,1372.78,2012-07-18,137.37
641,641,1376.51,2012-07-19,137.73
642,642,1362.66,2012-07-20,136.47
643,643,1350.52,2012-07-23,135.09
644,644,1338.31,2012-07-24,133.925
645,645,1337.89,2012-07-25,133.96
646,646,1360.02,2012-07-26,136.17
647,647,1385.97,2012-07-27,138.675
648,648,1385.3,2012-07-30,138.68
649,649,1379.32,2012-07-31,137.71
650,650,1375.14,2012-08-01,137.59
651,651,1365.0,2012-08-02,136.64
652,652,1390.99,2012-08-03,139.349
653,653,1394.23,2012-08-06,139.62
654,654,1401.35,2012-08-07,140.32
655,655,1402.22,2012-08-08,140.49
656,656,1402.8,2012-08-09,140.61
657,657,1405.87,2012-08-10,140.84
658,658,1404.11,2012-08-13,140.77
659,659,1403.93,2012-08-14,140.79
660,660,1405.53,2012-08-15,140.95
661,661,1415.51,2012-08-16,141.99
662,662,1418.16,2012-08-17,142.18
663,663,1418.13,2012-08-20,142.19
664,664,1413.17,2012-08-21,141.76
665,665,1413.49,2012-08-22,141.82
666,666,1402.08,2012-08-23,140.665
667,667,1411.13,2012-08-24,141.51
668,668,1410.44,2012-08-27,141.54
669,669,1409.3,2012-08-28,141.4
670,670,1410.49,2012-08-29,141.51
671,671,1399.48,2012-08-30,140.49
672,672,1406.58,2012-08-31,141.16
673,673,1404.94,2012-09-04,141.03
674,674,1403.44,2012-09-05,140.91
675,675,1432.12,2012-09-06,143.77
676,676,1437.92,2012-09-07,144.33
677,677,1429.08,2012-09-10,143.51
678,678,1433.56,2012-09-11,143.91
679,679,1436.56,2012-09-12,144.39
680,680,1459.99,2012-09-13,146.59
681,681,1465.77,2012-09-14,147.24
682,682,1461.19,2012-09-17,146.74
683,683,1459.32,2012-09-18,146.62
684,684,1461.05,2012-09-19,146.7
685,685,1460.26,2012-09-20,146.71
686,686,1460.15,2012-09-21,145.87
687,687,1456.89,2012-09-24,145.645
688,688,1441.59,2012-09-25,144.1
689,689,1433.32,2012-09-26,143.295
